sample	AMULET	Scrublet
1000-4000	0.25851765889359873	0.6060075420142764
1000-4000	0.3109164607391558	0.573042930110065
1000-4000	0.3481808904603022	0.6931948265031811
1000-4000	0.37210667914031825	0.5811181099372423
1000-4000	0.31867466111780124	0.6405671113429675
1000-4000	0.42666960337428383	0.4547239874963844
1000-4000	0.3696649884768696	0.6976689022004119
1000-4000	0.36083829888316216	0.5472912499546984
1000-4000	0.3868714173061999	0.6490686102537401
1000-4000	0.28649888382111605	0.6455347044022217
4000-7000	0.629559545058572	0.6376820984688675
4000-7000	0.7018752085039963	0.7376509409933218
4000-7000	0.6697753303685913	0.7513359752020619
4000-7000	0.6649692557970798	0.6911164068757191
4000-7000	0.6544712598391093	0.6576356043151406
4000-7000	0.6705150039700868	0.6122544814038644
4000-7000	0.7642446150522357	0.6771242142644426
4000-7000	0.7252098057734919	0.6305945623454305
4000-7000	0.567877037628222	0.636073576988497
4000-7000	0.655201896673333	0.6945982129855641
7000-10000	0.8780788137695441	0.5654422259351835
7000-10000	0.9208058314888489	0.5199574590256991
7000-10000	0.9220539711444136	0.5635959515191679
7000-10000	0.9150883804267342	0.7045017939136602
7000-10000	0.8475080674702585	0.6851642543363105
7000-10000	0.8707304294757572	0.5876692571059023
7000-10000	0.9235306145263431	0.47059252232972
7000-10000	0.9348714569538162	0.6679148249133191
7000-10000	0.8861016300454704	0.46635296053167635
7000-10000	0.8871232203094577	0.5871498290580637
10000-13000	0.9892480680108747	0.5879611675716343
10000-13000	0.9862806055069316	0.5787838603831806
10000-13000	0.992915029109625	0.5760839678697095
10000-13000	0.9856119812160564	0.6376375907640227
10000-13000	0.9961543693866926	0.5731317505962155
10000-13000	0.9624672514435865	0.6250103269440684
10000-13000	0.9834206079002155	0.6225672061847303
10000-13000	0.9854749702138926	0.5580503685894806
10000-13000	0.9659709751942163	0.5922879092929937
10000-13000	0.9857186703102682	0.6311047379994038
